Date,actual,arima_pred
2023-12-20,-0.0142221227330497,0.0003699642967259982
2023-12-21,0.0049475348167753,-0.0003836958541932776
2023-12-22,0.0044291035803757,0.0005646791128296092
2023-12-26,0.0042976278879013,0.0006834951120560336
2023-12-27,0.0099035475021389,0.0010528286288498544
2023-12-28,0.0057075621422148,-3.2530325490108406e-05
2023-12-29,-0.0021741548367498,0.0012860296018627217
2024-01-01,0.000483055117301,-0.0002209085601095561
2024-01-02,-0.003506275858172,-4.796970646581231e-05
2024-01-03,-0.0068754481934599,0.000834794821766356
2024-01-04,0.0065430178827624,-0.000593527473781688
2024-01-05,0.002407282397897,0.0009047816862458738
2024-01-08,-0.0091524650052922,0.0008264389632343056
2024-01-09,0.0014793871720368,-0.00024228547029343003
2024-01-10,0.0034218540152167,0.0002396635893553681
2024-01-11,0.001317434984659,0.0007073434543198778
2024-01-12,0.0113617033464997,0.0005991707423072862
2024-01-15,0.0092243988092869,0.00046252824187525374
2024-01-16,-0.0029525879856159,0.0011944382901175456
2024-01-17,-0.0211157704737447,0.0002942532482244577
2024-01-18,-0.0050982455047793,-0.0006951215644235436
2024-01-19,0.0074342545093672,-6.393164144956169e-05
2024-01-23,-0.0179000980548101,0.0007566714474531844
2024-01-24,0.0100790068029252,0.0009916436731668345
2024-01-25,-0.0047352473640612,-0.00015275083193494297
2024-01-29,0.0178699682193025,0.0011265407176069362
2024-01-30,-0.0099631660190465,0.0013987849816729388
2024-01-31,0.009415559590485,-0.0008909720787603646
2024-02-01,-0.0013011495021482,0.002055882714230986
2024-02-02,0.0071801490987671,-0.0013746384326894898
2024-02-05,-0.0037639297855089,0.002296748298896282
2024-02-06,0.0072172946598549,-0.0005345720942945451
2024-02-07,5.014190025218764e-05,0.0008070333118027984
2024-02-08,-0.0097392904057516,0.0008804132312666578
2024-02-09,0.00296782354157,-0.00096179288668477
2024-02-12,-0.0076707646646054,0.00091601075402604
2024-02-13,0.0058672340814856,0.0004229558727160085
2024-02-14,0.0044421114826255,0.0003011302825175678
2024-02-15,0.003231907943473,0.0008808288571111008
2024-02-16,0.00591332480386,0.0005822674660771433
2024-02-19,0.0036931806134258,-2.7105342829486186e-05
2024-02-20,0.0033709674724873,0.0014257921819708459
2024-02-21,-0.0064132208193745,0.00038777481672877355
2024-02-22,0.0073363449492495,4.798200499989049e-05
2024-02-23,-0.0002138187777958,0.0005340727271039656
2024-02-26,-0.004089278221713,0.00015898550528145946
2024-02-27,0.0034430602082678,0.0007298358768506633
2024-02-28,-0.0111983964511737,-0.0005325566055819305
2024-02-29,0.0014408171929075,0.0009770557978378113
2024-03-01,0.0160624736924449,-0.00021648949826309592
2024-03-04,0.0029880715530739,0.000795901609035499
2024-03-05,-0.0022027147028049,0.001829866557414289
2024-03-06,0.0052531495595052,-0.001348311957333954
2024-03-07,0.0008672911404987,0.0010821420301695324
2024-03-11,-0.0071788854481033,0.0006497703178393599
2024-03-12,0.0001365095489935,-0.000731266892877524
2024-03-13,-0.0152483933565969,0.0010839412906527783
2024-03-14,0.0067483942326731,-0.0007334374522890991
2024-03-15,-0.0055830247464483,0.0006712029058927795
2024-03-18,0.0014678000566242,0.0005459722068057271
2024-03-19,-0.0108609639603587,0.0005258856030842679
2024-03-20,0.0009918508439663,2.9207248129349377e-06
2024-03-21,0.0078835288646751,0.0008110368862790116
2024-03-22,0.0038450866714008,5.43975255270633e-05
2024-03-26,-0.0041745074847941,0.0015459460822736231
2024-03-27,0.0053911583385007,-0.0005286654950941026
2024-03-28,0.0091450572802347,0.0006293924646881314
2024-04-01,0.0060327455209344,0.0011712819742954036
2024-04-02,-0.0003873610421153,6.439120353959725e-05
2024-04-03,-0.000830975404816,0.0007470611899116634
2024-04-04,0.0035595696965144,-8.104583481862652e-05
2024-04-05,-4.22476898839797e-05,0.00037493797733414096
2024-04-08,0.0067552962734934,0.0007106695177073047
2024-04-09,-0.0010395619844089,6.514595635956122e-05
2024-04-10,0.0048924863608352,0.0007168073675525542
2024-04-12,-0.0103550214717636,0.00029946027342242764
2024-04-15,-0.0110244436660376,-0.00019060041014055918
2024-04-16,-0.0056100321053902,0.00041533326090495713
2024-04-18,-0.0068889200657005,-0.00052171362562826
2024-04-19,0.0068482656961372,0.0012921086771341714
2024-04-22,0.0085156050796275,4.295719049273746e-05
2024-04-23,0.0014137138340638,0.001175622440011864
2024-04-24,0.0015367473640989,0.0010192915210940304
2024-04-25,0.0074689672972998,-0.0007724953960804646
2024-04-26,-0.0066859280691195,0.001715294235142223
2024-04-29,0.0099172833455234,-0.0002186352487840513
2024-04-30,-0.0017039682453004,0.00020363339140418098
2024-05-02,0.0019158763335262,0.0011460839675382704
2024-05-03,-0.0076389620148829,-0.0002457188489315207
2024-05-06,-0.0014760226012829,0.0001894003306542377
2024-05-07,-0.006266579655461,0.0007965332608465853
2024-05-08,0.0,-0.000592924570245778
