date,state,cond_vol_annualised
2010-01-08,0,17.46502560359587
2010-01-11,0,16.864897127580967
2010-01-12,0,16.217789539143244
2010-01-13,0,16.01255564704381
2010-01-14,0,15.522219647085025
2010-01-15,0,15.046323151414096
2010-01-18,0,14.54773815370067
2010-01-19,0,14.131378991269715
2010-01-20,0,14.352432525228405
2010-01-21,1,13.858862274890711
2010-01-22,0,17.298224894207195
2010-01-25,0,17.253574605066554
2010-01-27,1,16.76887348512864
2010-01-28,1,21.25969722439011
2010-01-29,1,20.440799758418212
2010-02-01,1,19.607292003898376
2010-02-02,1,18.83080539047299
2010-02-03,1,19.220592068908672
2010-02-04,1,20.563118254918603
2010-02-05,1,21.481760565804844
2010-02-08,1,23.44153666912352
2010-02-09,1,22.835818973004905
2010-02-10,1,21.963910810525803
2010-02-11,1,21.374933034436058
2010-02-15,1,21.402525682687603
2010-02-16,1,20.71036213924765
2010-02-17,1,20.383138289232676
2010-02-18,0,20.065927033567977
2010-02-19,0,19.461270313840913
2010-02-22,0,19.059155410877306
2010-02-23,0,18.314325157957622
2010-02-24,0,17.60059186939391
2010-02-25,0,16.971820693515138
2010-02-26,0,16.318158684011255
2010-03-02,1,16.540499480484815
2010-03-03,1,17.601874576042327
2010-03-04,0,17.711343227395712
2010-03-05,0,17.059502379169388
2010-03-08,0,16.411446030662475
2010-03-09,0,16.01786788401829
2010-03-10,0,15.605424680693488
2010-03-11,0,15.070890635073626
2010-03-12,0,14.568364559106145
2010-03-15,0,14.057239477010473
2010-03-16,0,13.612533580962069
2010-03-17,0,14.274142955985988
2010-03-18,0,13.940179587102607
2010-03-19,0,13.485352163666892
2010-03-22,0,13.087030835235483
2010-03-23,0,13.65447526732625
2010-03-25,0,13.306681813892546
2010-03-26,0,13.103690747325954
2010-03-29,0,12.742175476073614
2010-03-30,0,12.415416362157288
2010-03-31,0,12.585094656473506
2010-04-01,0,12.252886568270226
2010-04-05,0,12.29599238401871
2010-04-06,0,13.226698682684878
2010-04-07,0,12.830354584746512
2010-04-08,0,12.437570745768527
2010-04-09,0,13.443974721723931
2010-04-12,0,13.822662539905735
2010-04-13,0,13.575357197945086
2010-04-15,0,13.220258468649437
2010-04-16,0,13.46116503372514
2010-04-19,0,13.055236236895718
2010-04-20,0,13.648526278720496
2010-04-21,0,13.365132676090722
2010-04-22,0,12.948077705197445
2010-04-23,0,12.63593146471389
2010-04-26,0,12.484543102397673
2010-04-27,0,12.147899929051329
2010-04-28,1,11.885358919756394
2010-04-29,0,13.92871281522853
2010-04-30,0,13.874752691393166
2010-05-03,0,13.47441373846148
2010-05-04,0,13.971735737350018
2010-05-05,0,14.821688593754367
2010-05-06,0,14.4201502387189
2010-05-07,1,14.271839426660032
2010-05-10,1,15.201166712180628
2010-05-11,1,20.866824802582972
2010-05-12,1,20.920733763924353
2010-05-13,1,20.122854359609615
2010-05-14,1,19.356243679527378
2010-05-17,1,20.077656333749218
2010-05-18,1,19.431147985928146
2010-05-19,1,18.641812904448777
2010-05-20,1,22.17745427091231
2010-05-21,1,21.434741465959192
2010-05-24,1,20.628919727998966
2010-05-25,1,19.784375245339792
2010-05-26,1,22.711745100591322
2010-05-27,1,24.046166362491668
2010-05-28,1,23.879073458161802
2010-05-31,1,23.29539320456119
2010-06-01,1,22.324525550308003
2010-06-02,1,23.693969348001723
2010-06-03,1,23.15267566753852
2010-06-04,1,23.254859101346288
2010-06-07,1,22.286219120375197
2010-06-08,1,23.129919132765266
2010-06-09,1,22.43711119201691
2010-06-10,1,21.505619453368134
2010-06-11,1,21.50194882260704
2010-06-14,1,20.765553036850353
2010-06-15,0,20.806201698440027
2010-06-16,0,19.987476882042174
2010-06-17,0,19.17175295496314
2010-06-18,0,18.65797066862966
2010-06-21,1,17.970677028811792
2010-06-22,0,18.683896917484056
2010-06-23,0,18.314723116339415
2010-06-24,0,17.590183480760825
2010-06-25,0,16.907450940111442
2010-06-28,0,16.87465596448016
2010-06-29,0,17.040870776274765
2010-06-30,0,17.80825274347176
2010-07-01,0,17.735878827545015
2010-07-02,0,17.927574707310796
2010-07-05,0,17.26064664414336
2010-07-06,0,16.592892907482376
2010-07-07,0,16.44809002623941
2010-07-08,0,16.460701873748597
2010-07-09,0,16.473713575635347
2010-07-12,0,16.324633704085354
2010-07-13,0,15.815003439968407
2010-07-14,0,15.26361764424758
2010-07-15,0,14.784481695341935
2010-07-16,0,14.281235639648877
2010-07-19,0,13.819860088126598
2010-07-20,0,13.392159939974812
2010-07-21,0,13.070912641198005
2010-07-22,0,12.861280571174287
2010-07-23,0,12.788094312488198
2010-07-26,0,12.388405553705082
2010-07-27,0,12.315504494089089
2010-07-28,0,11.976793515007094
2010-07-29,0,12.014721309330772
2010-07-30,0,11.689599897491117
2010-08-02,0,11.943716028705163
2010-08-03,0,12.62714546189807
2010-08-04,0,12.237913408200217
2010-08-05,0,12.022802646032332
2010-08-06,0,11.84751375642257
2010-08-09,0,11.537567686239324
2010-08-10,0,11.737707191634184
2010-08-11,0,11.695685095092772
2010-08-12,0,11.84650343860181
2010-08-13,0,11.516012138132858
2010-08-16,0,11.473588778198176
2010-08-17,0,11.61559174527122
2010-08-18,0,11.302568117056909
2010-08-19,0,12.030448570707422
2010-08-20,0,12.376188190845134
2010-08-23,0,12.0764831344799
2010-08-24,0,11.753796125457761
2010-08-25,0,11.893750209715991
2010-08-26,0,12.063958185373904
2010-08-27,0,11.76550294160974
2010-08-30,0,12.88038914418594
2010-08-31,0,12.486894711615701
2010-09-01,0,12.188998385313198
2010-09-02,0,12.919054182104059
2010-09-03,0,12.519061332022249
2010-09-06,1,12.168845276027485
2010-09-07,0,13.939372416480758
2010-09-08,0,13.528005269014837
2010-09-09,0,13.08130126075696
2010-09-13,1,12.861147923029359
2010-09-14,0,15.150035879214432
2010-09-15,0,14.71036244106831
2010-09-16,0,14.873304125332375
2010-09-17,0,14.626528234718565
2010-09-20,1,14.682583679792108
2010-09-21,0,15.541220373802481
2010-09-22,0,15.026950166413394
2010-09-23,0,14.57898515491896
2010-09-24,0,14.26788389309245
2010-09-27,0,14.366070294327207
2010-09-28,0,13.880682713349145
2010-09-29,0,13.436818874289203
2010-09-30,0,13.327243228789984
2010-10-01,1,13.162633475230239
2010-10-04,0,14.787877707783162
2010-10-05,0,14.265609098768287
2010-10-06,0,13.828117868001398
2010-10-07,0,13.633005823499373
2010-10-08,0,14.13870540724876
2010-10-11,0,13.70474395499085
2010-10-12,0,13.40375351483863
2010-10-13,1,13.48068886555568
2010-10-14,0,16.367470030412328
2010-10-15,1,16.488594221192535
2010-10-18,0,17.804312250548886
2010-10-19,0,17.148609090853455
2010-10-20,0,16.95099120134008
2010-10-21,1,16.653279486831156
2010-10-22,0,18.085872660075992
2010-10-25,0,17.706682316181986
2010-10-26,0,17.222719033853206
2010-10-27,0,16.685326949605624
2010-10-28,0,16.853532890008378
2010-10-29,0,16.301160469808142
2010-11-01,1,15.800487068337612
2010-11-02,0,16.569079563706524
2010-11-03,0,15.952651260132871
2010-11-04,1,15.590140353884895
2010-11-08,0,17.010281778635893
2010-11-09,0,16.415781658593843
2010-11-10,0,15.893567982227967
2010-11-11,0,15.44654305472242
2010-11-12,1,15.976911002658913
2010-11-15,1,17.594172959282155
2010-11-16,1,17.307369934471254
2010-11-18,1,19.479157330457802
2010-11-19,1,18.707605687100553
2010-11-22,1,19.760145606520126
2010-11-23,1,20.87351551886089
2010-11-24,1,20.987215190978876
2010-11-25,1,20.72617078249737
2010-11-26,1,20.43091604110247
2010-11-29,1,19.922896687697648
2010-11-30,1,19.913419141250085
2010-12-01,1,19.162968597859955
2010-12-02,0,19.56412288910358
2010-12-03,0,18.997481281128405
